;;;;;;📊 BÁO CÁO TÀI CHÍNH TỔNG HỢP – THÁNG 4/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DANH MỤC CHỈ TIÊU P&L;Hội An;;VTV8;;PHT;;111 NHT;;109 NHT;;Phố Đi Bộ;;Chợ Hàn + Bảo Tàng;;Cá Chép;;Bảo Tàng;;"Doanh thu Tổng 
Cà Phê Đóng Gói và Hàng lưu niệm";;Doanh thu Sự Kiện;;Doanh thu Bếp;;CÔNg TY - BO;;TỔNG HỆ THỐNG;;;;;;;;;;;;;;;
;Giá trị (VND);% / DT;Giá trị (VND);% / DT;Giá trị (VND);% / DT;Giá trị (VND);% / DT;Giá trị (VND);% / DT;Giá trị (VND);% / DT;Giá trị (VND);% / DT;Giá trị (VND);% / DT;Giá trị (VND);% / DT;Giá trị (VND);% / DT;Giá trị (VND);% / DT;Giá trị (VND);% / DT;Giá trị (VND);% / DT;Giá trị (VND);% / DT;;;;;;;;;;;;;;
• Chi phí phát sinh khác;0 đ;0,00%;101.000 đ;0,01%;1.116.000 đ;0,20%;0 đ;0,00%;0 đ;0,00%;180.000 đ;0,06%;10.170 đ;0,02%;853.600 đ;1,45%;0 đ;0,00%;863.770 đ;0,51%;0 đ;0%;;0%;;;3.124.540 đ;0,07%;;;;;;;;;;;;;;
II.4 TỔNG CHI PHÍ KHÁC;0 đ;0,00%;11.940.131 đ;0,89%;7.239.124 đ;1,33%;3.661.857 đ;0,67%;1.895.959 đ;0,67%;180.000 đ;0,06%;10.170 đ;0,02%;853.600 đ;1,45%;0 đ;0,00%;863.770 đ;0,51%;0 đ;0,00%;;;;;26.644.611 đ;0,64%;;Tách phần bếp;;;;;;;;;;;;
III. Chi phí khấu hao;0 đ;0,00%;225.000.000 đ;16,83%;0 đ;0,00%;80.000.000 đ;14,61%;40.000.000 đ;;0 đ;;0 đ;;0 đ;;0 đ;0,00%;;0,00%;;0,00%;;;;;345.000.000 đ;8,27%;;;;;;;;;;;;;;
Thu nhập Khác ( cho thuê );;;;;20.000.000 đ;3,67%;;;;;;;;;;;;;;;;;;;;;20.000.000 đ;0,48%;;;;;;;;;;;;;;
IV. LỢI NHUẬN TRƯỚC THUẾ (EBIT);242.099.155 đ;36%;310.497.605 đ;23%;113.723.484 đ;21%;98.164.807 đ;18%;46.333.397 đ;16%;167.153.313 đ;54%;-9.945.392 đ;-18%;11.342.593 đ;19%;-4.305.885 đ;-47%;15.132.298 đ;9%;22.477.180 đ;37%;20.207.036 đ;15%;-251.854.592 đ;#DIV/0!;771.862.997 đ;18,51%;;;;;;;;;;;;;;
V. Tồn kho NVL;89.382.519 đ;;42.513.176 đ;;61.589.007 đ;;46.900.130 đ;;55.230.506 đ;;11.241.619 đ;;4.931.353 đ;;;;;;;;;;;;;;311.788.310 đ;;;;;;;;;;;;;;;
VI. Tồn kho Cà phê đóng gói ;;;;;;;;;;;;;;;;;;;19.489.000 đ;11,47%;;;;;;;19.489.000 đ;0,47%;;;;;;;;;;;;;;
VII. Tồn kho lưu niệm;;;;;;;;;;;;;;;;;;;14.630.520 đ;8,61%;;;;;;;14.630.520 đ;0,35%;;;;;;;;;;;;;;
VI. Lợi nhuận nếu cộng tồn kho;331.481.674 đ;49,40%;353.010.781 đ;26,40%;175.312.491 đ;32,16%;145.064.937 đ;26,49%;101.563.903 đ;36,03%;178.394.932 đ;58,16%;-5.014.039 đ;-9,01%;11.342.593 đ;19,28%;-4.305.885 đ;-47,00%;49.251.818 đ;28,98%;;;;;;;1.117.770.827 đ;26,80%;;;;;;;;;;;;;;
Chi phí BO chia cho cửa hàng;40.523.031 đ;6,04%;80.746.768 đ;6,04%;32.921.441 đ;6,04%;33.069.766 đ;6,04%;17.024.376 đ;6,04%;18.526.603 đ;6,04%;3.362.773 đ;6,04%;3.553.728 đ;6,04%;553.350 đ;6,04%;10.263.883 đ;6,04%;3.705.727 đ;0 đ;8.156.497 đ;0 đ;0 đ;;;;;Tính giá cost, giá bán của bếp;;;;;;;;;;;;
